comment_id,text,intent_lama,sentiment,intent_baru
comment_000001,Spil ukuran s dong kak yg spider,ask_detail,neutral,size_inquiry
comment_000002,oke kak makasih,other,positive,not_relevant
comment_000003,kak kalo buat BB 100+ bisa ga kak?,ask_size_fit,neutral,size_recommendation
comment_000004,bahan buat T shirt,ask_detail,neutral,product_inquiry
comment_000005,kalo TB 140 BB 41 ukuran apa kak,ask_measurement,neutral,size_recommendation
comment_000006,bahan kaos apa kak?,ask_detail,neutral,product_inquiry
comment_000013,kaos untuk bb 77 tb 172 kak uk apa ya?,ask_measurement,neutral,size_recommendation
comment_000014,spil yg ukuran m kak,ask_detail,neutral,size_inquiry
comment_000015,Oky kak yg spider ukuran s pas kan TB 140 TB 41,ask_measurement,neutral,size_recommendation
comment_000016,ka bener ga si harganya segitu,ask_price,neutral,price_inquiry
comment_000017,etalase 3 ka,ask_stock,neutral,product_inquiry
comment_000018,tb 180 BB 89,ask_measurement,neutral,size_recommendation
comment_000019,tb 150 bb 53 size apa ka,ask_measurement,neutral,size_recommendation
comment_000020,aku co yg size l tpi ka hhe,purchase_intent,neutral,purchase_intent
comment_000021,yg spiderman bb 95 bisa ga kk?,ask_size_fit,neutral,size_recommendation
comment_000023,tb 177 bb 77,ask_measurement,neutral,size_recommendation
comment_000024,belakangnya gmna ka,ask_detail,neutral,not_relevant
comment_000025,yg di pake ukuran apa ka,ask_size_fit,neutral,size_inquiry
comment_000026,tb 160 bb 70 uk apa?,ask_measurement,neutral,size_recommendation
comment_000027,kak cirengnya redygak,ask_stock,neutral,not_relevant
comment_000028,et 1 tb 160 bb 70 uk apa kak,ask_measurement,neutral,size_recommendation
comment_000030,kak BB 75 tinggi 173 ambil apa ya,ask_measurement,neutral,size_recommendation
comment_000031,"Bb 55, tinggi 170’an uk apa ka",ask_measurement,neutral,size_recommendation
comment_000032,Bb 100 tinggi 175 pake uk apa ka,ask_measurement,neutral,size_recommendation
comment_000033,Iya bep,other,neutral,not_relevant
comment_000034,kak sepil eta 2,ask_detail,neutral,product_inquiry
comment_000035,tb 170.bb 85 uk berapa,ask_measurement,neutral,size_recommendation
comment_000036,udah co eta 2,purchase_intent,neutral,purchase_intent
comment_000037,baju yang spiderman kak spil,ask_detail,neutral,product_inquiry
comment_000038,et 19 kk,ask_stock,neutral,product_inquiry
comment_000039,BB 65 kk,ask_measurement,neutral,size_recommendation
comment_000040,udah co kk eta 19,purchase_intent,neutral,purchase_intent
comment_000041,udah co 3 kak,purchase_intent,neutral,purchase_intent
comment_000042,kk eta 2 untuk bb 63 ambil xl kegedean gk?,ask_size_fit,neutral,size_recommendation
comment_000043,itu bahan yg spiderman apa,ask_detail,neutral,product_inquiry
comment_000045,Bahan apan?,ask_detail,neutral,product_inquiry
comment_000046,sya 68,ask_measurement,neutral,not_relevant
comment_000048,68 ambil ukuran apa,ask_measurement,neutral,size_recommendation
comment_000050,@💅🏻✨🦩 okkkoooooo,noise,neutral,not_relevant
comment_000051,ka ini kmrn udh co 2 tp dateng nya ko 1 doang ya,purchase_intent,negative,purchase_intent
comment_000052,bb 50 tb 170 apa,ask_measurement,neutral,size_recommendation
comment_000053,sablon yg di blkang et brpa aj kk,ask_stock,neutral,product_inquiry
comment_000054,spil eta 5 kak,ask_detail,neutral,product_inquiry
comment_000055,Hitam polos,ask_stock,neutral,color_inquiry
comment_000056,kakanya pake uk apa?,ask_size_fit,neutral,size_inquiry
comment_000057,kk sepil eta 31,ask_detail,neutral,product_inquiry
comment_000058,udah kak aku CO yg spiderman,purchase_intent,neutral,purchase_intent
comment_000059,aku udh co 2 kk,purchase_intent,neutral,purchase_intent
comment_000060,berapa,ask_price,neutral,price_inquiry
comment_000061,bb 55 ambil apa ka,ask_measurement,neutral,size_recommendation
comment_000062,BB 85 MBA,ask_measurement,neutral,size_recommendation
comment_000064,kak yang gambar cwe melet etalase berpa,ask_stock,neutral,product_inquiry
comment_000065,tb 178 bb 65 pake size berpa ya,ask_measurement,neutral,size_recommendation
comment_000066,etalase no 21 kak,ask_stock,neutral,product_inquiry
comment_000067,bb 55 tb 167 ambil apa ka,ask_measurement,neutral,size_recommendation
comment_000068,yg dipake ets brp,ask_stock,neutral,product_inquiry
comment_000069,pengiriman Jayapura ga bisah ya mba,ask_price,neutral,not_relevant
comment_000070,kak aku mau lihat ukuran S etalase no 6,ask_stock,neutral,size_inquiry
comment_000071,Spil eta 18 kak,ask_detail,neutral,product_inquiry
comment_000072,Spil yg size m kak,ask_detail,neutral,size_inquiry
comment_000073,etalase 1 cb lihat ukuran XL,ask_stock,neutral,size_inquiry
comment_000074,aku udh co ka etalase 19,purchase_intent,neutral,purchase_intent
comment_000075,spil eta 2 ukuran xl,ask_detail,neutral,size_inquiry
comment_000076,XL muat BB brapa,ask_measurement,neutral,size_recommendation
comment_000077,bb 68 ukuran apa kak,ask_measurement,neutral,size_recommendation
comment_000078,ukuran s gmna,ask_size_fit,neutral,size_inquiry
comment_000079,buat BB 69 TB 165 apa ka,ask_measurement,neutral,size_recommendation
comment_000080,ka bb 68 Tb 150,ask_measurement,neutral,size_recommendation
